tconst	parentTconst	seasonNumber	episodeNumber
tt0070786	tt0348892	1	17
tt0070799	tt0165592	3	24
tt0070816	tt0069646	1	0
tt0070824	tt0298709	1	3
tt0070925	tt0065327	2	18
tt0070958	tt1695587	\N	\N
tt0071074	tt0267198	1	7
tt0071119	tt0165592	4	11
tt0071158	tt0159876	\N	\N
tt0071191	tt0277509	2	1
tt0071195	tt0072470	1	0
tt0071217	tt0072543	1	1
tt0071223	tt0069633	1	4
tt0071246	tt0202179	3	2
tt0071264	tt0762803	1	3
tt0071302	tt0165593	9	5
tt0071313	tt0165592	4	21
tt0071343	tt0164295	2	6
tt0071345	tt1466074	3	8
tt0071346	tt1466074	4	3
tt0071347	tt1466074	3	6
tt0071348	tt1466074	4	2
tt0071349	tt1466074	3	5
tt0071350	tt1466074	2	5
tt0071351	tt1466074	3	7
tt0071393	tt0277509	2	2
tt0071403	tt0165593	9	7
tt0071461	tt0165593	10	2
tt0071501	tt0200358	8	8
tt0071546	tt0277509	2	4
tt0071548	tt0070990	1	0
tt0071551	tt0298665	8	1
tt0071570	tt0199214	3	1
tt0071574	tt0298665	8	3
tt0071656	tt0071012	1	0
tt0071659	tt1049986	2	1
tt0071669	tt1049986	1	12
tt0071683	tt0419311	1	4
tt0071697	tt0165592	4	12
tt0071759	tt0071007	1	0
tt0071781	tt0071008	1	0
tt0071810	tt0806910	1	46
tt0071823	tt1389029	1	2
tt0071869	tt1091486	1	10
tt0071876	tt0164295	4	3
tt0071881	tt1389029	1	3
tt0071894	tt0071017	1	0
tt0071903	tt0164295	6	2
tt0071912	tt0202206	\N	\N
tt0071924	tt0164295	3	6
tt0072072	tt0969783	1	2
tt0072091	tt0165593	10	4
tt0072093	tt0071042	1	0
tt0072121	tt0165592	4	20
tt0072127	tt0063920	6	11
tt0072138	tt0071056	1	0
tt0072164	tt1091486	1	11
tt0072175	tt0165593	9	8
tt0072203	tt0072567	1	0
tt0072258	tt0806910	1	36
tt0072259	tt0806910	1	41
tt0072283	tt0072576	1	0
tt0072341	tt0270780	1	3
tt0072420	tt0165593	10	3
tt0072458	tt0849411	\N	\N
tt0072465	tt0202206	\N	\N
tt0072593	tt0165592	6	4
tt0072654	tt0165593	10	5
tt0072660	tt1614886	1	6
tt0072683	tt0072471	1	1
tt0072686	tt10549352	\N	\N
tt0072688	tt1614886	1	5
tt0072702	tt0071325	1	18
tt0072715	tt0072478	1	0
tt0072733	tt0165592	5	20
tt0072738	tt0762803	2	1
tt0072741	tt0072481	1	0
tt0072743	tt1614886	1	1
tt0072755	tt10667296	1	2
tt0072796	tt0159876	\N	\N
tt0072800	tt1466074	5	2
tt0072801	tt1466074	4	6
tt0072802	tt1466074	4	1
tt0072803	tt1466074	5	1
tt0072804	tt1466074	5	3
tt0072805	tt1466074	4	5
tt0072806	tt1466074	4	4
tt0072808	tt0071325	1	3
tt0072815	tt0071325	1	6
tt0072907	tt10667296	1	1
tt0072929	tt0072496	1	0
tt0072997	tt1049986	2	12
tt0072998	tt0165592	5	21
tt0073007	tt0159876	\N	\N
tt0073032	tt0165592	5	8
tt0073048	tt0312084	3	4
tt0073060	tt0165592	5	14
tt0073062	tt0065296	\N	\N
tt0073065	tt1049986	2	19
tt0073153	tt1049986	3	3
tt0073154	tt1614886	1	2
tt0073176	tt0397818	1	1
tt0073178	tt0072515	1	0
tt0073189	tt0259806	6	4
tt0073217	tt1049986	2	18
tt0073228	tt0072526	1	0
tt0073245	tt0165593	10	7
tt0073256	tt0806910	1	58
tt0073288	tt0071325	1	22
tt0073300	tt0165593	11	2
tt0073313	tt0165593	11	3
tt0073355	tt0397818	1	2
tt0073361	tt0072542	1	0
tt0073374	tt0207281	1	3
tt0073408	tt0165592	6	3
tt0073409	tt0071325	1	23
tt0073412	tt0762803	2	2
tt0073423	tt0071325	1	24
tt0073449	tt0074074	1	1
tt0073481	tt0298685	1	3
tt0073484	tt0071325	1	9
tt0073531	tt0259806	4	4
tt0073587	tt0397818	1	3
tt0073606	tt0075471	1	6
tt0073617	tt1614886	1	4
tt0073642	tt0165592	6	10
tt0073648	tt1049986	2	2
tt0073667	tt0165593	10	6
tt0073677	tt0071054	3	17
tt0073740	tt0071325	1	7
tt0073745	tt10667296	1	4
tt0073748	tt1049986	2	16
tt0073757	tt0165593	10	8
tt0073763	tt1049986	2	7
tt0073777	tt0072574	1	0
tt0073789	tt0806910	1	52
tt0073790	tt0806910	1	55
tt0073805	tt0165592	6	8
tt0073821	tt1049986	2	6
tt0073828	tt0165592	6	2
tt0073890	tt0164295	4	6
tt0073912	tt0806910	1	50
tt0073938	tt0806910	1	51
tt0074088	tt0159876	\N	\N
tt0074171	tt0073961	1	0
